graph_id,qber,signal_count,decoy_count,is_attacked,key_loss
0,0.0113,6309,1261,0,0.0
0,0.03,5754,1150,0,0.0
0,0.0265,5011,1002,0,0.0
0,0.0115,6025,1205,0,0.0
1,0.0279,6309,1261,0,0.0
1,0.0176,5754,1150,0,0.0
1,0.0186,5011,1002,0,0.0
1,0.0284,6025,1205,0,0.0
2,0.1936,2895,268,1,0.8807
2,0.0257,5754,1150,0,0.0
2,0.0239,5011,1002,0,0.0
2,0.0156,6025,1205,0,0.0
3,0.0233,6309,1261,0,0.0
3,0.0255,5754,1150,0,0.0
3,0.0241,5011,1002,0,0.0
3,0.0266,6025,1205,0,0.0
4,0.0228,6309,1261,0,0.0
4,0.0102,5754,1150,0,0.0
4,0.0102,5011,1002,0,0.0
4,0.0104,6025,1205,0,0.0
5,0.0297,6309,1261,0,0.0
5,0.0162,5754,1150,0,0.0
5,0.0263,5011,1002,0,0.0
5,0.0182,6025,1205,0,0.0
6,0.0294,6309,1261,0,0.0
6,0.0211,5754,1150,0,0.0
6,0.013,5011,1002,0,0.0
6,0.0113,6025,1205,0,0.0
7,0.0198,6309,1261,0,0.0
7,0.0238,5754,1150,0,0.0
7,0.03,5011,1002,0,0.0
7,0.0175,6025,1205,0,0.0
8,0.0274,6309,1261,0,0.0
8,0.2491,2932,296,1,0.9631
8,0.0298,5011,1002,0,0.0
8,0.0251,6025,1205,0,0.0
9,0.2186,2808,162,1,0.9148
9,0.0215,5754,1150,0,0.0
9,0.0263,5011,1002,0,0.0
9,0.0215,6025,1205,0,0.0
10,0.0192,6309,1261,0,0.0
10,0.0221,5754,1150,0,0.0
10,0.0262,5011,1002,0,0.0
10,0.0254,6025,1205,0,0.0
11,0.018,6309,1261,0,0.0
11,0.0117,5754,1150,0,0.0
11,0.0183,5011,1002,0,0.0
11,0.0138,6025,1205,0,0.0
12,0.0268,6309,1261,0,0.0
12,0.02,5754,1150,0,0.0
12,0.0213,5011,1002,0,0.0
12,0.0208,6025,1205,0,0.0
13,0.1904,2568,218,1,0.8148
13,0.0281,5754,1150,0,0.0
13,0.0243,5011,1002,0,0.0
13,0.0291,6025,1205,0,0.0
14,0.0273,6309,1261,0,0.0
14,0.015,5754,1150,0,0.0
14,0.0117,5011,1002,0,0.0
14,0.0195,6025,1205,0,0.0
15,0.0244,6309,1261,0,0.0
15,0.0195,5754,1150,0,0.0
15,0.0173,5011,1002,0,0.0
15,0.0144,6025,1205,0,0.0
16,0.012,6309,1261,0,0.0
16,0.0129,5754,1150,0,0.0
16,0.0154,5011,1002,0,0.0
16,0.0268,6025,1205,0,0.0
17,0.0239,6309,1261,0,0.0
17,0.0228,5754,1150,0,0.0
17,0.0106,5011,1002,0,0.0
17,0.0144,6025,1205,0,0.0
18,0.0263,6309,1261,0,0.0
18,0.0183,5754,1150,0,0.0
18,0.0228,5011,1002,0,0.0
18,0.0202,6025,1205,0,0.0
19,0.0126,6309,1261,0,0.0
19,0.0181,5754,1150,0,0.0
19,0.0276,5011,1002,0,0.0
19,0.2206,3605,306,1,0.8905
20,0.0257,6309,1261,0,0.0
20,0.0156,5754,1150,0,0.0
20,0.0211,5011,1002,0,0.0
20,0.0253,6025,1205,0,0.0
21,0.0271,6309,1261,0,0.0
21,0.0149,5754,1150,0,0.0
21,0.0237,5011,1002,0,0.0
21,0.0178,6025,1205,0,0.0
22,0.0289,6309,1261,0,0.0
22,0.2106,2530,273,1,0.8062
